Get ready
Move 13
Move 15
Move 14
Move 9
Move 5
Move 6
Move 3
Move 4
Move 6
Move 5
Move 10
Move 3
Move 4
Move 2
Move 7
Move 4
Move 3
Move 11
Move 4
Move 7
Move 2
Move 3
Move 7
Move 4
Move 11
Move 7
Move 3
Move 2
Move 4
Move 3
Move 7
Move 10
Move 9
Move 14
Move 15
Move 13
Move 12
Move 8
Move 1
Move 4
Move 3
Move 1
Move 8
Move 12
Move 13
Move 15
Move 14
Move 9
Move 5
Move 6
Move 2
Move 3
Move 1
Move 7
Move 6
Move 5
Move 9
Move 14
Move 15
Move 13
Move 12
Move 11
Move 13
Move 15
Move 14
Move 9
Move 10
Move 13
Move 11
Move 12
Move 15
Move 14
Move 13
Move 10
Move 9
Move 13
Move 14
Move 15
Move 12
Move 11
Move 10
Move 14
Move 15
Move 10
Move 11
Move 12
Move 10
Move 15
Move 14
Move 11
Move 7
Move 1
Move 3
Move 6
Move 1
Move 7
Move 11
Move 1
Move 6
Move 2
Move 5
Move 6
Move 1
Move 9
Move 6
Move 5
Move 2
Move 1
Move 5
Move 6
Move 9
Move 5
Move 6
Move 2
Move 1
Move 6
Move 5
Move 9
Move 2
Move 5
Move 6
Move 1
Move 5
Move 2
Move 9
Move 6
Move 2
Move 5
Move 1
Move 2
Move 6
Move 14
Move 15
Move 10
Move 12
Move 11
Move 10
Move 15
Move 14
Move 10
Move 11
Move 12
